"URN","LAESTAB","Region","Closed","SCHNAME","addmission_type","institution_type","ADDRESS1","ADDRESS2","ADDRESS3","TOWN","PCODE","OFSTED","TELNUM","disadv1617","dis_5e_m1617","nondis_5e_m1617","dis_p8_1617","nondis_p8_1617","dis_ebacc_ent_1617","nondis_ebacc_ent_1617"
136298,"2104318","London","No","The Charter School","Comprehensive (secondary)","Academy converter","Red Post Hill",NA,NA,"London","SE24 9JH",1,"0207 3466600",52,1,1,1,1,1,1
100973,"2114297","London","No","Swanlea School","Comprehensive (secondary)","Community school","31 Brady Street","Whitechapel",NA,"London","E1 5DJ",1,"0207 3753267",125,1,1,1,1,1,1
100969,"2114276","London","Yes","Stepney Green Mathematics and Computing College","Comprehensive (secondary)","Community school","Ben Jonson Road","Stepney",NA,"London","E1 4SD",2,"0207 7906361",92,1,1,1,1,1,1
100968,"2114242","London","Yes","Mulberry School for Girls","Comprehensive (secondary)","Community school","Richard Street","Commercial Road",NA,"London","E1 2JP",NA,"0207 7906327",140,1,1,1,1,1,1
100967,"2114150","London","No","Morpeth School","Comprehensive (secondary)","Community school","Portman Place","Bethnal Green",NA,"London","E2 0PX",1,"0208 9810921",150,1,1,1,1,1,1
100977,"2114722","London","No","Sir John Cass Foundation and Redcoat Church of England Secondary School","Comprehensive (secondary)","Voluntary aided school","Stepney Way","Stepney",NA,"London","E1 0RH",1,"0207 7906712",120,1,1,1,1,1,1
143379,"2114277","London","No","St Paul's Way Trust School","Comprehensive (secondary)","Academy converter","125 St Paul's Way",NA,NA,"London","E3 4FT",1,"0207 9871883",178,1,1,1,1,1,1
137789,"2114284","London","No","Green Spring Academy Shoreditch","Comprehensive (secondary)","Academy converter","Gosset Street","Bethnal Green",NA,"London","E2 6NW",1,"0207 9207900",119,1,1,1,1,1,1
138267,"2124000","London","No","Ark Bolingbroke Academy","Comprehensive (secondary)","Free schools","Wakehurst Road",NA,NA,"London","SW11 6BF",2,"0207 9248200",53,1,1,1,1,1,1
141808,"2124734","London","No","Saint Cecilia's Church of England School","Comprehensive (secondary)","Academy converter","Sutherland Grove",NA,NA,"London","SW18 5JR",2,"0208 7801244",37,1,1,1,1,1,1
135316,"2126905","London","No","Ashcroft Technology Academy","Comprehensive (secondary)","Academy sponsor led","100 West Hill",NA,NA,"London","SW15 2UT",1,"0208 8770357",94,1,1,1,1,1,1
137005,"2125400","London","No","Graveney School","Comprehensive (secondary)","Academy converter","Welham Road","Tooting",NA,"London","SW17 9BU",1,"0208 6827000",50,1,1,1,1,1,1
101154,"2134723","London","No","St Augustine's CofE High School","Comprehensive (secondary)","Voluntary aided school","Oxford Road",NA,NA,"London","NW6 5SN",1,"0207 3283434",97,1,1,1,1,1,1
138313,"2134628","London","No","The Grey Coat Hospital","Comprehensive (secondary)","Academy converter","Greycoat Place",NA,NA,"London","SW1P 2DY",1,"0207 9691998",30,1,1,1,1,1,1
131262,"2136906","London","No","Westminster Academy","Comprehensive (secondary)","Academy sponsor led","The Naim Dangoor Centre","255 Harrow Road",NA,"London","W2 5EZ",1,"0207 1210600",99,1,1,1,1,1,1
137353,"2134673","London","No","The St Marylebone CofE School","Comprehensive (secondary)","Academy converter","64 Marylebone High Street",NA,NA,"London","W1U 5BA",1,"0207 9354704",43,1,1,1,1,1,1
135242,"2136907","London","No","Ark King Solomon Academy","Comprehensive (secondary)","Academy sponsor led","Penfold Street",NA,NA,"London","NW1 6RX",1,"0207 5636900",43,1,1,1,1,1,1
